eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,nupdates,policy_entropy,misc/total_timesteps,value_loss
79.54,-2.35,83.58762886597938,-2.5773196,-0.03258049488067627,190,1,2.708045482635498,8192,1.336470127105713
81.69,-2.28,80.6,-2.51,-0.06582117080688477,184,2,2.708045244216919,16384,1.131777048110962
79.68,-2.83,83.91,-2.92,-0.032346367835998535,188,3,2.708045482635498,24576,1.3610334396362305
80.48,-3.06,80.24,-2.21,-0.029835820198059082,189,4,2.70804500579834,32768,1.4562838077545166
83.39,-3.17,85.24,-3.62,-0.012633681297302246,191,5,2.708045482635498,40960,1.6092873811721802
87.25,-2.69,78.52,-2.35,-0.049069762229919434,193,6,2.708045244216919,49152,1.055145502090454
80.68,-3.43,77.87,-2.08,-0.03771352767944336,191,7,2.70804500579834,57344,1.3258732557296753
85.03,-2.24,85.8,-2.87,-0.0508115291595459,192,8,2.708045482635498,65536,0.9188928008079529
82.61,-2.84,82.5,-2.23,-0.03215670585632324,192,9,2.708045721054077,73728,1.4036126136779785
79.43,-2.51,82.14,-3.19,-0.05380892753601074,192,10,2.708045482635498,81920,1.054368495941162
84.11,-2.35,85.09,-2.87,-0.0726546049118042,193,11,2.70804500579834,90112,1.0770341157913208
80.03,-2.6,79.6,-2.81,-0.06896507740020752,193,12,2.708045482635498,98304,0.965411901473999
80.27,-2.07,80.01,-3.32,-0.02590787410736084,193,13,2.7080461978912354,106496,0.9710114002227783
86.9,-2.86,80.39,-3.18,-0.04111349582672119,192,14,2.708045482635498,114688,1.2845163345336914
83.14,-2.29,81.66,-2.49,-0.060857295989990234,185,15,2.708045244216919,122880,1.1540884971618652
80.28,-2.62,85.35,-2.77,-0.06832897663116455,186,16,2.708045244216919,131072,1.3179240226745605
83.55,-2.69,82.17,-2.11,-0.010103583335876465,187,17,2.708045244216919,139264,1.1795120239257812
85.32,-2.88,88.87,-2.39,-0.030086994171142578,187,18,2.708045482635498,147456,1.0495011806488037
79.72,-2.48,79.97,-2.44,-0.09151220321655273,187,19,2.708045482635498,155648,1.3292536735534668
82.83,-2.39,84.22,-2.38,-0.07188999652862549,188,20,2.708045244216919,163840,0.9338204264640808
78.03,-1.97,77.27,-3.0,0.022330522537231445,188,21,2.70804500579834,172032,0.777782678604126
88.34,-2.62,80.22,-2.54,-0.04242229461669922,188,22,2.7080459594726562,180224,0.9841113686561584
82.28,-3.06,76.24,-2.64,-0.019152522087097168,188,23,2.70804500579834,188416,1.4845900535583496
83.87,-2.48,81.05,-1.99,-0.029811859130859375,189,24,2.70804500579834,196608,1.0037693977355957
88.45,-3.06,80.92,-2.49,-0.047637939453125,189,25,2.708045482635498,204800,1.2023861408233643
78.89,-2.23,82.2,-1.83,-0.045861005783081055,190,26,2.70804500579834,212992,0.8718212842941284
83.18,-2.03,83.57,-3.21,-0.031427860260009766,190,27,2.70804500579834,221184,0.8354417085647583
80.64,-3.05,88.02,-3.32,-0.04218494892120361,190,28,2.708045482635498,229376,1.070918083190918
