eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
74.98,-2.87,78.77,-2.3,113,0.00018141179,0.0,2.7078745,-0.00055677904,0.43722042,0.019831478595733643,1,10240,90.36115157511085,10240
84.33,-2.63,83.3,-2.39,119,6.791324e-05,0.0,2.7071311,-0.00040811682,0.17042957,-0.016952991485595703,2,20480,176.22502435883507,20480
82.68,-2.19,85.3,-2.13,116,8.596669e-05,0.0,2.706109,-0.00033690545,0.14833619,-0.005896568298339844,3,30720,264.33282621297985,30720
78.87,-2.07,83.74,-2.49,116,6.0993305e-05,0.0,2.705311,-0.0003015224,0.17193587,0.013690769672393799,4,40960,352.296342859976,40960
80.31,-1.99,83.15,-2.32,115,0.00019726309,0.0,2.702294,-0.00039169495,0.16831702,0.02185767889022827,5,51200,440.7396959220059,51200
78.16,-1.91,81.34,-2.66,223,0.00011720109,0.0,2.6992788,-0.00052215956,0.16747396,0.07184237241744995,6,61440,486.63998165680096,61440
76.88,-2.36,79.64,-3.1,307,0.00038827452,0.0,2.691583,-0.0005773671,0.19630738,0.039874136447906494,7,71680,519.9862255370244,71680
75.2,-2.25,82.51,-2.15,308,0.000185759,0.0,2.683074,-0.0002596896,0.18359141,0.11701357364654541,8,81920,553.194743252825,81920
81.01,-1.1,80.78,-2.5,307,7.238314e-05,0.0,2.673804,-0.0002482002,0.13308965,0.07368969917297363,9,92160,586.4646051176824,92160
76.1,-1.95,74.11,-2.58,299,0.0005232767,0.0,2.659308,-0.000991471,0.15334599,0.10904502868652344,10,102400,620.6744738770649,102400
77.42,-1.47,73.4,-1.43,307,0.0009532019,0.0026367188,2.63059,-0.00037780753,0.13352326,0.16988623142242432,11,112640,653.9890993619338,112640
72.02,-1.53,77.36,-2.12,301,0.0004938837,0.0,2.6071265,-0.0005162422,0.13523613,0.15529507398605347,12,122880,688.139476869721,122880
72.43,-1.72,73.8,-1.74,302,0.00041684872,0.0,2.5897222,-8.7549626e-05,0.14447762,0.1745370626449585,13,133120,721.9489534087479,133120
73.53,-1.52,73.95,-1.07,308,0.0002961413,0.0,2.5900402,-0.00028549123,0.12124119,0.1075945496559143,14,143360,755.0902878497727,143360
76.0,-1.42,74.15,-1.96,301,0.00020783329,0.0,2.5673192,-0.00024015177,0.12641998,0.1807020902633667,15,153600,789.2171617927961,153600
71.58,-1.27,76.25,-1.54,305,0.00035955248,0.0,2.569741,-0.00055076246,0.11582259,0.1523303985595703,16,163840,822.7884220499545,163840
74.13,-1.66,79.15,-1.34,305,0.00036803048,0.0,2.5796478,-0.00030716776,0.16331254,0.15302151441574097,17,174080,856.3337824409828,174080
74.82,-1.6,77.04,-1.32,296,0.00037103824,0.0,2.5645797,-0.00036720722,0.13553874,0.17406153678894043,18,184320,890.8983950749971,184320
76.36,-1.5,73.5,-1.47,306,0.00042278483,0.0,2.554944,-0.0003011631,0.14199327,0.18786072731018066,19,194560,924.3505987017415,194560
75.13,-1.59,74.54,-1.18,306,0.0004990871,0.0,2.5431976,-0.00026393676,0.15850456,0.22640007734298706,20,204800,957.7953013838269,204800
74.43,-1.01,75.6,-1.81,301,0.0004105271,0.0,2.5199087,-0.0006167313,0.14701073,0.230635404586792,21,215040,991.7572460649535,215040
77.75,-1.2,75.72,-2.31,308,0.00058974547,0.000390625,2.5096848,-0.00022606092,0.116677545,0.31229281425476074,22,225280,1024.9411412519403,225280
74.14,-1.49,76.02,-1.97,309,0.000391876,6.510417e-05,2.5404885,-0.00040816807,0.13851972,0.23951250314712524,23,235520,1058.0171145717613,235520
