eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.29166666666667,-3.6666667,79.3529411764706,-1.4705882,78,0.0009100722,0.0,2.707164,-0.0023552282,0.74712735,0.08422106504440308,1,4096,52.06325870892033,4096
74.95,-2.59,81.88,-2.07,85,4.1105857e-05,0.0,2.7055843,-0.00042530862,0.35687435,0.1764761209487915,2,8192,100.00625808583573,8192
76.16,-2.42,83.07,-2.71,84,0.00012707809,0.0,2.7040784,-0.0007650309,0.22890405,0.014065086841583252,3,12288,148.72656597103924,12288
85.35,-2.72,80.54,-2.64,86,0.000124065,0.0,2.702409,-0.0007005143,0.19476174,0.08168351650238037,4,16384,196.1858788440004,16384
82.14,-2.66,79.06,-2.0,85,0.0002254484,0.0,2.6982372,-0.00040292522,0.2260518,0.0659111738204956,5,20480,244.03125589806587,20480
73.96,-2.18,80.34,-1.96,85,8.2893246e-05,0.0,2.6939433,-0.00074066763,0.17601204,0.07093536853790283,6,24576,291.9529974060133,24576
78.35,-1.97,79.46,-2.63,86,0.00038155788,0.0,2.689769,-0.001104588,0.14893784,0.0489276647567749,7,28672,339.1936878520064,28672
86.65,-2.51,77.9,-2.65,86,0.0008408379,0.0,2.6719348,-0.0015903361,0.20837395,0.16684818267822266,8,32768,386.5675095161423,32768
83.03,-2.47,77.91,-2.26,87,0.0006017791,0.0,2.636031,-0.00073031173,0.17785414,0.04693758487701416,9,36864,433.35244382172823,36864
77.43,-0.94,77.07,-2.24,87,0.0006029102,0.0,2.6003268,-0.0005071923,0.10196499,0.17766743898391724,10,40960,479.9560763128102,40960
73.51,-0.52,76.41,-2.17,85,0.00072566635,0.0,2.577839,-0.0009422879,0.11981472,0.0007511377334594727,11,45056,527.9921062407084,45056
70.89,-1.21,74.18,-1.37,87,0.0011087662,0.0038248699,2.5139492,-0.0010803883,0.1180174,0.061997294425964355,12,49152,574.6932380530052,49152
70.51,-1.22,75.33,-1.2,86,0.0035355315,0.047851562,2.4023302,-0.0012546038,0.09413183,0.07439696788787842,13,53248,622.004050035961,53248
73.55,-1.31,75.27,-1.53,87,0.00069646636,0.0,2.416541,-0.0007732447,0.1114875,0.06086909770965576,14,57344,669.1559488298371,57344
74.68,-1.7,77.17,-1.43,87,0.0008095284,0.0013020834,2.4060867,-0.00091291434,0.11284646,0.054465413093566895,15,61440,716.2349272090942,61440
74.8,-2.18,80.26,-1.59,85,0.0005681471,0.0,2.4712455,0.0001735965,0.1873885,0.022966623306274414,16,65536,764.0047035599127,65536
75.48,-1.84,79.34,-1.81,85,0.00023468588,0.0,2.4285505,-0.0004871424,0.11141732,0.12602990865707397,17,69632,811.7172709237784,69632
72.26,-1.74,77.45,-1.94,87,0.00040401312,0.0,2.4449718,-0.00039003126,0.12266626,0.10118728876113892,18,73728,858.409866373986,73728
72.3,-1.86,81.36,-1.59,85,0.00055796,0.0,2.5291169,-0.00021683735,0.14728607,0.06936120986938477,19,77824,906.4048848971725,77824
74.95,-1.58,79.15,-2.0,87,0.00028690873,0.0,2.569452,-0.00036871023,0.13037287,0.10620290040969849,20,81920,953.3258886937983,81920
74.01,-1.7,76.17,-1.82,85,0.0003223829,0.0,2.5408547,-0.0007715584,0.147703,0.12185925245285034,21,86016,1001.454431599006,86016
76.22,-1.55,81.13,-1.6,87,0.00023387746,0.0,2.59771,-0.00048720324,0.13326061,0.09568101167678833,22,90112,1048.518519199919,90112
72.23,-1.25,78.84,-1.63,87,0.0003150357,0.0,2.572048,-0.0011035638,0.14945738,0.09219557046890259,23,94208,1095.442425367888,94208
73.26,-1.72,78.17,-2.05,89,0.0009425886,0.0,2.5746303,-0.00069460965,0.15616556,0.10959690809249878,24,98304,1141.2226566299796,98304
73.81,-1.44,78.92,-2.1,86,0.00029047506,0.0,2.5342748,9.975008e-05,0.109413855,0.062091708183288574,25,102400,1188.4657238689251,102400
74.51,-1.13,76.83,-1.4,87,0.0005216002,0.0,2.5690167,-0.0005085824,0.14090504,0.06094604730606079,26,106496,1235.092798665166,106496
75.68,-1.3,76.53,-1.58,84,0.00025055432,0.0,2.578994,-0.0003164334,0.13130796,0.10717993974685669,27,110592,1283.8124710679986,110592
