eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.41414141414141,-2.5959597,84.69791666666667,-3.5729167,11,9.69935e-05,0.0,2.707961,-0.00048165317,0.63327783,-0.017805933952331543,1,8192,734.1438407413661,8192
83.37,-2.67,79.62,-3.01,57,2.9130983e-05,0.0,2.707782,-0.00028351208,0.18160987,0.04403877258300781,2,16384,877.7251272434369,16384
78.78,-2.38,80.89,-2.16,86,2.2911032e-05,0.0,2.7074072,-0.000112880334,0.14696413,0.034014880657196045,3,24576,972.9834808735177,24576
80.54,-2.55,81.67,-2.91,157,5.3714695e-05,0.0,2.706391,-0.000105250765,0.17905302,0.12208342552185059,4,32768,1025.2701578624547,32768
82.69,-2.15,80.54,-2.57,166,2.0509427e-05,0.0,2.7065399,-0.00012131187,0.15614705,0.07051593065261841,5,40960,1074.6056129243225,40960
81.02,-2.08,81.51,-2.16,131,5.03269e-05,0.0,2.7054434,-0.00015142087,0.17292266,0.13923168182373047,6,49152,1137.078914708458,49152
80.73,-2.36,82.03,-2.17,162,2.3600454e-05,0.0,2.7048137,-9.524248e-05,0.16683805,0.154413104057312,7,57344,1187.441202191636,57344
82.21,-2.32,81.84,-1.7,167,5.1450323e-05,0.0,2.7037842,-0.00026559105,0.18610209,0.17481929063796997,8,65536,1236.2194799566641,65536
76.87,-2.48,83.02,-2.42,165,9.8429e-05,0.0,2.701931,-0.00061450124,0.17101783,0.2592966556549072,9,73728,1285.7853068904951,73728
75.19,-1.56,77.47,-2.18,146,0.00016145916,0.0,2.6969426,-0.00044332087,0.16361715,0.24196720123291016,10,81920,1341.8963453657925,81920
78.89,-1.39,80.51,-1.48,168,0.00025533125,0.0,2.68917,-0.0005259042,0.13855845,0.3123961091041565,11,90112,1390.4152941228822,90112
75.36,-1.43,79.85,-2.45,138,0.0003753095,0.0,2.6704705,-0.00056103297,0.14065403,0.380546510219574,12,98304,1449.5775171024725,98304
75.33,-1.84,78.34,-1.86,145,0.00040563018,0.0,2.6465137,-0.0009855068,0.17554647,0.3855496644973755,13,106496,1506.051395446062,106496
73.49,-2.02,74.55,-1.88,85,0.0006866635,0.000773112,2.6208763,-0.00047710523,0.16197854,0.4314398765563965,14,114688,1601.8242552252486,114688
75.39,-1.53,73.45,-1.7,129,0.00019536959,0.0,2.6139934,-0.00010550915,0.17195587,0.5302857160568237,15,122880,1665.0764546161518,122880
73.3,-1.52,77.83,-1.86,157,0.00035404236,0.0,2.5966394,-0.00031573992,0.12386761,0.5626609921455383,16,131072,1716.9714361550286,131072
71.55,-1.43,72.99,-1.74,134,0.00019307027,0.0,2.5997674,-0.0007266397,0.11012709,0.5045099258422852,17,139264,1777.7838354008272,139264
72.03,-1.47,75.74,-1.86,161,0.00034075874,0.00020345052,2.599392,-0.0005692958,0.14210963,0.6126195788383484,18,147456,1828.573947764933,147456
72.32,-1.43,73.31,-1.26,174,0.0006782275,0.0013020834,2.6234071,-0.0002855477,0.14220153,0.620434045791626,19,155648,1875.5073755662888,155648
