eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
77.92,-2.62,81.21,-2.85,139,9.113355e-05,0.0,2.707941,-0.00031701548,0.9948823,-0.01761174201965332,1,8192,58.5345578501001,8192
87.05,-2.84,80.46,-2.61,172,5.2186853e-05,0.0,2.7078106,-0.00028659977,0.18417145,0.04674047231674194,2,16384,106.35193087160587,16384
88.81,-3.08,75.47,-2.63,162,3.1180974e-05,0.0,2.7075512,-0.00017056327,0.17360945,0.023324787616729736,3,24576,156.95098664145917,24576
85.0,-2.75,86.41,-3.13,149,3.2007938e-05,0.0,2.707164,-0.00014441677,0.16935597,0.0010152459144592285,4,32768,211.7292648786679,32768
82.63,-1.79,85.13,-2.47,170,3.5499164e-05,0.0,2.7064228,-0.00016073317,0.13501236,0.05138486623764038,5,40960,259.72411825414747,40960
82.58,-2.28,82.22,-2.94,173,2.2759892e-05,0.0,2.705185,-1.1470324e-05,0.16402215,0.03892284631729126,6,49152,306.95977334398776,49152
84.92,-2.54,87.54,-1.86,167,2.0811582e-05,0.0,2.7040784,-8.636139e-05,0.17950185,0.07347220182418823,7,57344,355.98676955793053,57344
85.27,-2.38,82.9,-3.17,141,3.5221357e-05,0.0,2.7036107,-0.00016931274,0.15582125,0.13097214698791504,8,65536,413.9863610994071,65536
80.7,-2.1,84.54,-2.62,97,5.7346766e-05,0.0,2.7019827,-0.00021656339,0.15002288,0.12674003839492798,9,73728,498.17201786860824,73728
82.58,-2.21,81.79,-2.92,129,7.077514e-05,0.0,2.699463,-7.309227e-05,0.16005702,0.1444915533065796,10,81920,561.3375114090741,81920
79.75,-1.88,85.62,-2.81,132,6.469656e-05,0.0,2.696763,-5.95398e-05,0.15701596,0.1928899884223938,11,90112,622.9432246889919,90112
75.34,-2.76,81.51,-2.74,147,0.0001000322,0.0,2.6927583,-0.00029338058,0.16905077,0.2795584201812744,12,98304,678.5218766666949,98304
82.12,-2.25,84.77,-2.37,162,0.00021364552,0.0,2.6879737,-0.0005593745,0.14171855,0.2907205820083618,13,106496,728.965973011218,106496
81.71,-2.65,80.77,-2.68,155,0.00044280782,0.0,2.6715527,-0.00044527848,0.156903,0.27836811542510986,14,114688,781.7983870962635,114688
84.78,-1.93,80.43,-2.25,161,0.00026707372,0.0,2.6575463,-0.00038212995,0.1400246,0.307303786277771,15,122880,832.5158932972699,122880
80.52,-1.97,77.19,-2.23,156,0.0005553377,0.0,2.6342237,-0.0007359586,0.17151351,0.30408769845962524,16,131072,884.804491716437,131072
77.72,-2.23,82.33,-2.49,13,0.000561369,0.0,2.5977776,0.000117459414,0.18291481,0.40099895000457764,17,139264,1514.6687286579981,139264
74.57,-1.44,75.96,-1.3,14,0.0003185432,0.0,2.5708687,-0.0004635517,0.14633034,0.3511900305747986,18,147456,2098.226587433368,147456
81.14,-1.72,79.19,-1.08,19,0.00020412165,0.0,2.5551572,-0.0005830294,0.13260964,0.39440858364105225,19,155648,2521.6548616131768,155648
82.32,-1.41,78.44,-1.47,60,0.0003302882,0.0,2.5645049,-0.0002677776,0.11757211,0.39724743366241455,20,163840,2656.6130048930645,163840
76.42,-1.7,77.73,-1.77,109,0.0002843584,0.0,2.5588553,-0.0003013846,0.18156898,0.3097190856933594,21,172032,2731.3557442473248,172032
78.94,-1.77,80.54,-2.16,107,0.00067990576,0.0,2.5484233,-0.00062509277,0.14282668,0.38555699586868286,22,180224,2807.30687655136,180224
80.06,-1.32,75.99,-1.38,120,0.00036477286,0.0,2.5074708,-0.00081386976,0.13381644,0.37446558475494385,23,188416,2875.335839919746,188416
76.32,-1.44,75.57,-1.58,180,0.00022945185,0.0,2.4801805,-2.4418347e-05,0.124112286,0.41257917881011963,24,196608,2920.663411574438,196608
78.7,-1.48,73.11,-1.41,105,0.0002689871,0.0,2.4862216,-0.0005615392,0.10881695,0.4797167181968689,25,204800,2998.046528168954,204800
80.02,-1.54,76.14,-1.84,110,0.0019610212,0.009277344,2.4218006,-0.0007667979,0.110265225,0.48128706216812134,26,212992,3072.026237817481,212992
82.57,-1.38,78.14,-1.86,121,0.0014014579,0.0022379558,2.3787975,-0.0013043896,0.13767223,0.4432372450828552,27,221184,3139.2291097678244,221184
80.79,-1.89,76.49,-1.48,148,0.0021136398,0.007405599,2.263551,-0.0005190316,0.14461862,0.4857370853424072,28,229376,3194.5715328240767,229376
82.32,-1.13,79.6,-1.52,149,0.001316832,0.0043945312,2.2805984,-0.0008516267,0.13201158,0.5046237707138062,29,237568,3249.4187406152487,237568
77.51,-1.75,78.12,-1.57,155,0.0005895183,0.00020345052,2.2937827,-0.00033917083,0.17609482,0.38245975971221924,30,245760,3302.1678640972823,245760
77.5,-1.81,74.79,-1.36,176,0.002984195,0.020874023,2.3185582,-0.0011091413,0.120660536,0.42722898721694946,31,253952,3348.531825498678,253952
78.48,-1.49,80.99,-2.24,156,0.00023207477,0.0,2.1865213,-0.00033400333,0.11408857,0.4584031105041504,32,262144,3400.9886676976457,262144
80.14,-1.25,77.6,-1.41,171,0.00013627691,0.0,2.1473696,-0.00020370043,0.10821202,0.5029942095279694,33,270336,3448.8596186172217,270336
79.76,-1.02,72.05,-1.6,145,0.00055228645,0.0,2.097061,-0.0010400199,0.09177526,0.5018703937530518,34,278528,3505.33841774147,278528
80.64,-1.58,80.01,-1.53,168,0.005813801,0.05940755,2.2512116,-3.1953135e-05,0.12326745,0.4980030655860901,35,286720,3553.9660317776725,286720
74.66,-1.6,73.28,-1.34,176,0.00055526395,0.0,2.3155932,-0.0006284819,0.09298172,0.5504080653190613,36,294912,3600.4877701886,294912
75.8,-1.57,76.21,-1.97,17,0.0017110041,0.009521484,2.2639675,-0.000114432805,0.10613406,0.5708234906196594,37,303104,4064.043442104943,303104
73.77,-1.2,75.55,-1.16,136,0.0011368238,0.0033365886,2.2699447,-0.0006295498,0.10266001,0.3885592818260193,38,311296,4124.247311317362,311296
75.86,-0.86,77.25,-1.85,138,0.00061782735,0.00024414062,2.3066368,-0.00027941944,0.09693246,0.45320725440979004,39,319488,4183.218371778727,319488
74.97,-1.78,75.88,-1.86,138,0.00045788707,4.0690105e-05,2.3075964,-0.00053561083,0.13151775,0.4798430800437927,40,327680,4242.534490686841,327680
