eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.24,-2.83,81.71,-2.02,62,0.00034851782,0.0,2.7077084,-0.001061109,1.0719409,0.02699589729309082,1,8192,131.5796979740262,8192
83.15,-1.84,82.13,-2.75,64,1.2822279e-05,0.0,2.7074955,-3.1921158e-05,0.2657983,0.13031399250030518,2,16384,259.2601618147455,16384
82.03,-2.16,84.84,-2.58,63,2.1555119e-05,0.0,2.7071745,-0.00019446434,0.16581124,0.057625532150268555,3,24576,389.1652066647075,24576
81.89,-1.91,78.97,-2.64,64,1.1648594e-05,0.0,2.7070417,-0.00010830121,0.16901784,0.07103824615478516,4,32768,516.2644573119469,32768
81.36,-2.2,83.89,-2.21,63,3.581688e-05,0.0,2.7064755,-0.00017035512,0.1600277,0.08039575815200806,5,40960,645.2951543577947,40960
76.55,-2.16,89.28,-2.51,63,1.0506815e-05,0.0,2.7062619,-8.28659e-05,0.18049578,0.08087968826293945,6,49152,774.8469251468778,49152
78.64,-2.32,82.45,-3.06,64,2.6608546e-05,0.0,2.7056859,-0.00016897528,0.17522244,0.12214440107345581,7,57344,901.377474296838,57344
80.53,-2.47,86.73,-2.3,67,2.522753e-05,0.0,2.705354,-0.0001277402,0.19598746,0.18401843309402466,8,65536,1022.9906533900648,65536
82.28,-2.77,85.35,-2.66,66,0.000164432,0.0,2.7022655,-0.00060723984,0.21238981,0.25204628705978394,9,73728,1147.0049647809938,73728
77.21,-2.26,77.65,-2.48,65,1.3187096e-05,0.0,2.7025127,-0.0001509777,0.16373645,0.27961498498916626,10,81920,1272.9697606307454,81920
83.63,-1.89,82.87,-2.49,65,7.797947e-05,0.0,2.699322,-0.00028045557,0.14742605,0.3671764135360718,11,90112,1398.2305832859129,90112
82.16,-2.2,77.33,-2.45,67,1.811013e-05,0.0,2.6986377,-9.999642e-05,0.14965147,0.37003910541534424,12,98304,1518.9803149588406,98304
79.45,-1.68,79.97,-2.21,67,7.96956e-05,0.0,2.694024,-0.00028675966,0.13897364,0.3943384289741516,13,106496,1641.108779259026,106496
80.17,-1.46,78.01,-1.97,66,3.664203e-05,0.0,2.694163,-0.00011281747,0.1286314,0.3321571946144104,14,114688,1765.1521476288326,114688
78.52,-1.18,81.84,-1.77,67,8.856676e-05,0.0,2.6901798,-0.00031191236,0.1168774,0.3159791827201843,15,122880,1886.4371729237027,122880
74.92,-2.17,78.06,-2.08,66,0.00014671338,0.0,2.687381,-0.00033803136,0.12667248,0.34910517930984497,16,131072,2009.863624134101,131072
77.54,-1.54,79.44,-2.45,62,0.00018118844,0.0,2.6789863,-0.0003880046,0.13018882,0.3494044542312622,17,139264,2141.8217348437756,139264
77.26,-0.93,75.59,-2.23,64,8.760084e-05,0.0,2.6720774,-0.0003149075,0.104927205,0.42014700174331665,18,147456,2269.4935223520733,147456
78.38,-1.54,78.46,-2.52,66,0.00078809564,0.00016276042,2.6556952,-0.0016442336,0.13248815,0.4316539764404297,19,155648,2392.161612883676,155648
76.54,-1.29,76.44,-1.91,62,0.0016944612,0.017496744,2.6198878,-0.00061289984,0.12566654,0.41141700744628906,20,163840,2523.916060816031,163840
73.58,-1.28,74.27,-2.01,64,0.00068342296,0.0,2.581519,-0.00037326975,0.111888625,0.40256625413894653,21,172032,2650.045540127903,172032
73.02,-1.28,78.06,-1.72,62,0.0018346156,0.009358724,2.5438423,-0.0006052788,0.1104905,0.46021950244903564,22,180224,2780.6445620898157,180224
71.98,-1.2,73.6,-1.52,60,0.0010249097,8.138021e-05,2.5002244,-0.0008139946,0.09270241,0.41868704557418823,23,188416,2917.085023425985,188416
72.07,-1.42,75.09,-1.8,64,0.0015266762,0.0017089844,2.4438417,-0.0006596897,0.09904023,0.5201390385627747,24,196608,3043.651552390773,196608
74.01,-0.98,72.41,-1.36,57,0.0005421557,0.0,2.3910534,-0.00035197823,0.07980251,0.5025250017642975,25,204800,3185.3416227810085,204800
72.02,-1.09,73.09,-2.1,61,0.0011748683,0.0063476562,2.3545635,-0.0008386827,0.09303931,0.48354828357696533,26,212992,3319.393769611139,212992
