eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.46,-3.49,78.21,-3.0,145,6.532214e-05,0.0,2.7079737,-0.00045423955,0.8569029,-0.017076492309570312,1,8192,56.388770347926766,8192
83.27,-2.23,83.71,-2.85,155,1.1653974e-05,0.0,2.7079039,-0.0001648105,0.16957362,-0.0007336139678955078,2,16384,109.31155658699572,16384
86.34,-2.02,83.11,-2.86,160,3.1872358e-05,0.0,2.7076252,-0.000319285,0.16434939,0.053444862365722656,3,24576,160.46920319180936,24576
85.62,-3.04,85.08,-2.42,153,3.2495598e-05,0.0,2.7072353,-0.00023240829,0.17779835,0.04422593116760254,4,32768,214.09104513656348,32768
84.31,-2.02,86.68,-2.21,154,3.1137082e-05,0.0,2.706004,-0.00016501413,0.15378077,0.06706184148788452,5,40960,267.1427161777392,40960
82.55,-3.08,83.76,-3.04,151,4.45195e-05,0.0,2.705073,-0.00020729016,0.19832826,0.10590493679046631,6,49152,321.2482855976559,49152
77.46,-2.71,81.34,-2.89,154,4.8335893e-05,0.0,2.7037544,-0.00029517538,0.19173749,0.11845195293426514,7,57344,374.31987836770713,57344
79.56,-1.43,86.26,-2.67,153,3.9935625e-05,0.0,2.7024362,-0.00023871179,0.14561917,0.15761828422546387,8,65536,427.7962580998428,65536
76.52,-2.57,80.24,-2.52,151,0.0001175033,0.0,2.6990633,-7.260172e-05,0.17810343,0.22829920053482056,9,73728,482.1281656306237,73728
81.28,-2.49,80.01,-2.49,156,9.571391e-05,0.0,2.6971924,-0.0005884504,0.16154085,0.2279452681541443,10,81920,534.5884649739601,81920
74.38,-1.96,84.1,-2.51,159,0.00022527452,0.0,2.6901543,-0.00051067775,0.1746329,0.2635628581047058,11,90112,586.0264580906369,90112
81.8,-1.71,74.64,-2.71,152,0.00038267343,0.0,2.6783054,-0.00032832831,0.15115142,0.3293430805206299,12,98304,639.5971185006201,98304
76.97,-1.23,76.96,-2.26,149,0.0002062787,0.0,2.6708806,-0.0007099675,0.14588015,0.41658252477645874,13,106496,694.5109830568545,106496
77.99,-1.67,77.75,-2.3,148,0.00036023944,0.0,2.6506813,-0.0010556107,0.1300311,0.403099000453949,14,114688,749.9812604328617,114688
74.13,-1.79,77.77,-2.14,152,0.0008857095,0.00012207031,2.621744,-0.00067098654,0.14835832,0.3372560739517212,15,122880,803.5746063566767,122880
71.32,-1.44,73.1,-1.98,157,0.00095369044,0.0022786458,2.5846837,-0.0006810175,0.1438788,0.31313860416412354,16,131072,855.5441635129973,131072
78.38,-0.96,73.38,-1.79,160,0.00014473069,0.0,2.5577376,-0.0001394782,0.1134035,0.38649624586105347,17,139264,906.4976768749766,139264
70.9,-1.57,73.9,-1.99,158,0.00013480578,0.0,2.5395796,-0.00023100937,0.13274278,0.32147908210754395,18,147456,958.4582414836623,147456
71.55,-1.68,72.66,-1.42,160,0.00026567522,0.0,2.5521057,-0.00062586647,0.10342901,0.37597519159317017,19,155648,1009.484846376814,155648
74.14,-1.66,75.53,-1.51,158,0.0003352071,0.0,2.5389154,-0.00031732014,0.11205059,0.4153375029563904,20,163840,1061.2540838066489,163840
71.49,-1.6,77.05,-1.54,153,0.0006028922,0.000773112,2.5516884,-0.0006028597,0.106787354,0.4409855604171753,21,172032,1114.522833317984,172032
77.61,-1.28,73.16,-1.44,153,0.00030326648,0.0,2.5687573,-0.00037857666,0.10925271,0.48959821462631226,22,180224,1167.8949342817068,180224
74.35,-0.87,73.84,-1.59,154,0.00080501876,0.0047200522,2.5779955,-0.00080945523,0.10320238,0.5390060544013977,23,188416,1221.0502093066461,188416
75.87,-1.4,76.42,-1.32,159,0.00023045608,0.0,2.5954893,-0.00037485172,0.11749619,0.4779471158981323,24,196608,1272.5443745045923,196608
73.59,-1.33,79.7,-1.62,157,0.00016924679,0.0,2.5981295,-0.0007976683,0.116882265,0.5671946406364441,25,204800,1324.5633372757584,204800
73.0,-1.06,71.59,-1.4,157,0.0002036066,0.0,2.5877674,-0.000227249,0.11351206,0.5202727317810059,26,212992,1376.513128304854,212992
72.4,-1.1,75.68,-1.71,156,0.0011411364,0.0077311196,2.560387,-0.00075363833,0.10768642,0.6626657843589783,27,221184,1428.9164123060182,221184
75.79,-1.23,76.57,-1.64,158,0.00030215146,0.0006510417,2.528533,-0.00048738872,0.17092206,0.5557223260402679,28,229376,1480.493496382609,229376
73.18,-2.06,72.76,-1.69,154,0.00065170584,0.0024414062,2.5009086,-0.0005688661,0.26649195,0.6113106608390808,29,237568,1533.4039443079382,237568
72.07,-1.12,76.42,-1.65,146,0.00016069655,0.00016276042,2.4975784,-0.00026435615,0.13947842,0.6282849311828613,30,245760,1589.4611614895985,245760
71.31,-1.5,77.33,-2.35,149,0.00018006035,8.138021e-05,2.5005891,-5.4085936e-05,0.14519195,0.5300951898097992,31,253952,1644.077981766779,253952
73.49,-1.17,75.63,-1.69,154,0.0001476849,0.0,2.5023153,-0.00026180097,0.10533818,0.6001156270503998,32,262144,1697.1380190355703,262144
73.78,-1.56,74.64,-2.44,151,0.00012414769,0.0,2.4931335,-0.00024037436,0.10128498,0.6707170009613037,33,270336,1751.3113571018912,270336
73.46,-1.36,75.51,-1.54,158,0.0002516122,0.00012207031,2.4865096,-0.0004941815,0.10788074,0.6562440693378448,34,278528,1802.9127604379319,278528
73.28,-1.55,74.34,-1.53,159,0.00026471695,0.00036621094,2.4833844,-0.00028410228,0.11313132,0.6701541841030121,35,286720,1854.4045899286866,286720
72.12,-1.31,75.66,-1.0,158,0.00015756738,0.0,2.5003054,-0.000492499,0.107557364,0.6688736081123352,36,294912,1906.1243224688806,294912
71.33,-1.07,74.27,-1.71,158,0.00033740685,0.0,2.5084858,-0.00025955154,0.110012054,0.6363604664802551,37,303104,1957.7175908777863,303104
72.7,-0.97,72.94,-1.78,149,0.00017286696,0.00016276042,2.4965668,1.50004635e-05,0.11993698,0.6119233667850494,38,311296,2012.4253356009722,311296
73.01,-1.48,74.56,-1.75,146,0.00043376468,0.0,2.475392,-0.00024526927,0.12473127,0.6664268672466278,39,319488,2068.3613171977922,319488
74.72,-1.21,74.52,-1.41,151,0.00019981095,4.0690105e-05,2.447104,-0.000631725,0.11002796,0.7044788300991058,40,327680,2122.5760998609476,327680
75.19,-1.19,75.92,-1.65,147,0.00013153459,0.0,2.46716,-0.00019781415,0.11401779,0.6979939937591553,41,335872,2178.1076564518735,335872
72.47,-1.28,73.79,-1.59,148,0.00019822725,0.00024414062,2.4675791,-0.00040435442,0.111816645,0.6560989618301392,42,344064,2233.1528474045917,344064
74.78,-1.29,74.51,-1.59,151,0.00017697155,8.138021e-05,2.478824,-8.2533654e-05,0.10598287,0.6844848990440369,43,352256,2287.2281232569367,352256
72.75,-1.64,76.76,-1.35,151,0.00018876127,0.0,2.4739563,-0.000492102,0.117424786,0.7011394202709198,44,360448,2341.438508544583,360448
73.52,-1.18,76.98,-1.39,151,0.00028737105,0.0,2.4737523,-0.0008279768,0.11048353,0.723706066608429,45,368640,2395.450237448793,368640
76.52,-1.59,79.86,-1.45,153,0.00027510984,0.0,2.4499085,-0.00036386625,0.12328043,0.6737006604671478,46,376832,2448.932145843748,376832
73.91,-1.29,72.89,-1.22,152,0.00048541234,4.0690105e-05,2.4426415,-0.0006118929,0.11447361,0.6679345965385437,47,385024,2502.602208816912,385024
72.85,-1.22,81.53,-1.84,156,0.0006036828,0.0,2.3643749,-0.00025568475,0.1481636,0.6626259684562683,48,393216,2554.960421686992,393216
72.88,-1.08,77.81,-1.73,149,0.0006289753,0.00032552084,2.339726,-0.0007253091,0.10265576,0.6173511445522308,49,401408,2609.6669682445936,401408
71.86,-1.24,78.12,-2.13,146,0.0017506586,0.0040283203,2.2417696,-0.0008219779,0.15130368,0.5323030054569244,50,409600,2665.7214208496734,409600
77.75,-1.57,81.98,-1.97,154,0.0013801468,0.0028076172,2.137862,-0.00024283591,0.12095389,0.6556813418865204,51,417792,2718.763895511627,417792
79.93,-1.19,80.48,-1.77,155,0.00031518596,4.0690105e-05,2.1042197,-0.00016716185,0.111586325,0.6301757991313934,52,425984,2771.317452356685,425984
79.83,-1.07,75.93,-1.71,155,0.0022949544,0.015462239,2.029557,-0.0014428218,0.11859921,0.6575646698474884,53,434176,2823.941181655973,434176
77.84,-0.7,82.66,-1.43,155,0.0008814063,0.00016276042,1.9306847,-2.2515733e-05,0.102181144,0.5730739831924438,54,442368,2876.5462600016035,442368
79.03,-0.9,79.27,-1.36,153,0.0015138881,0.009318034,1.9520878,-0.00015139014,0.13467991,0.6688927710056305,55,450560,2930.149800792802,450560
81.45,-1.93,82.43,-1.95,156,0.0008538983,0.0009765625,1.9545423,-0.0006681403,0.18669684,0.6348713934421539,56,458752,2982.605445744004,458752
77.5,-1.3,82.96,-1.48,148,0.0017933333,0.015177409,1.984374,0.00015652087,0.19947487,0.6365494132041931,57,466944,3037.8969806237146,466944
77.44,-1.56,79.67,-1.56,146,0.0022852125,0.012858073,1.9680896,-0.0011884073,0.1522379,0.6256412863731384,58,475136,3093.631817040965,475136
77.92,-1.57,77.24,-2.03,155,0.00097105186,0.0043945312,1.9377879,-0.00036473837,0.12788154,0.6347740590572357,59,483328,3146.173826689832,483328
78.78,-1.31,84.45,-1.99,153,0.00026740096,0.00012207031,1.8830599,-0.00055564084,0.11509714,0.6060532927513123,60,491520,3199.5137982126325,491520
79.75,-1.03,76.93,-1.56,158,0.0012179869,0.0040690103,1.8866447,-0.00043961397,0.10549293,0.6439345180988312,61,499712,3251.325833395589,499712
83.42,-1.65,78.27,-1.57,159,0.00055444,0.0017089844,1.9562091,-0.00020673638,0.12195162,0.5889373123645782,62,507904,3302.841197028756,507904
75.91,-0.75,81.44,-1.59,152,0.0005031991,0.00044759116,1.9742092,-0.00040310682,0.14464925,0.6496572494506836,63,516096,3356.627477226779,516096
78.7,-1.7,79.16,-1.87,155,0.0026086897,0.012329102,1.8210787,-0.00056657486,0.18332656,0.6485126912593842,64,524288,3409.3042833888903,524288
79.02,-0.98,79.76,-1.54,150,0.0009317154,0.008666992,1.8753585,0.0005996533,0.12690447,0.6907005310058594,65,532480,3463.6930571128614,532480
83.95,-1.43,80.72,-1.59,154,0.0005797862,0.0017903646,1.8180462,-9.769193e-05,0.14842044,0.6239313781261444,66,540672,3516.8483393499628,540672
80.12,-0.82,83.2,-1.3,148,0.001512317,0.010416667,1.9353242,-0.0005351654,0.107832246,0.6586142480373383,67,548864,3571.8413342647254,548864
76.35,-1.03,77.41,-1.23,154,0.00032466385,0.0,2.0203602,-0.00046463936,0.0957085,0.5974254608154297,68,557056,3624.9996907799505,557056
72.08,-0.73,79.18,-1.77,158,0.0004891296,0.00044759116,2.019053,-0.00068221736,0.080671154,0.5749909281730652,69,565248,3676.6556031298824,565248
81.91,-1.12,79.47,-1.2,158,0.0012627683,0.0014648438,1.9154507,-0.0001547287,0.1002649,0.6020784676074982,70,573440,3728.4122117785737,573440
78.87,-1.26,80.69,-1.55,155,0.0007753754,0.005900065,1.8882475,-0.0010478898,0.1187844,0.6078302264213562,71,581632,3781.154657331761,581632
83.48,-1.04,80.71,-1.6,154,0.0006595988,0.00028483072,1.8289405,-0.00050298666,0.09559324,0.6397406160831451,72,589824,3834.325110520702,589824
86.36,-1.11,88.59,-1.82,151,0.0006964107,0.00032552084,1.7612349,-0.0003048613,0.096520565,0.7292816340923309,73,598016,3888.389700485859,598016
82.19,-0.7,81.24,-2.02,154,0.0018845283,0.012369792,1.7538542,-0.0010889921,0.08623853,0.686082661151886,74,606208,3941.474591958802,606208
83.85,-1.14,82.25,-2.05,156,0.0015736808,0.008951823,1.9071852,-0.0003265678,0.10714958,0.7421837747097015,75,614400,3993.6775324577466,614400
82.32,-0.78,84.63,-2.04,153,0.0006770992,0.00056966144,2.0271952,-0.0004834133,0.108137906,0.7037009298801422,76,622592,4047.002365563996,622592
78.31,-0.47,76.56,-1.78,154,0.0005247588,0.0015055338,2.0541472,-0.0011154211,0.08612607,0.6892396509647369,77,630784,4099.940935121849,630784
75.15,-0.68,74.12,-1.19,155,0.0014969412,0.009277344,2.0858316,0.00037532006,0.100808226,0.6769441068172455,78,638976,4152.631841055583,638976
77.78,-0.88,78.92,-1.17,151,0.0006260984,0.0018717448,2.134721,-0.00043565384,0.09931841,0.5935783982276917,79,647168,4206.631144935731,647168
79.89,-1.21,79.53,-1.58,156,0.0002565051,8.138021e-05,2.15544,-0.0007479818,0.10100343,0.6576036512851715,80,655360,4259.116726459935,655360
77.68,-0.7,78.92,-0.95,150,0.00046158605,0.0,2.1903782,-0.0006656878,0.07654703,0.6732284128665924,81,663552,4313.636168278754,663552
72.31,-0.54,76.97,-1.38,152,0.0014665857,0.0029703777,2.182172,-0.00096293393,0.08409482,0.5019193887710571,82,671744,4367.425055215601,671744
78.23,-0.91,78.85,-1.33,159,0.0027987417,0.018880209,2.209092,0.00014123747,0.102089584,0.5026069581508636,83,679936,4418.7879269029945,679936
71.47,-1.09,76.16,-1.56,160,0.0037759747,0.037272137,2.1589677,-0.0014302596,0.12307013,0.5772985517978668,84,688128,4469.803412142675,688128
72.36,-1.06,77.62,-1.57,158,0.0018456901,0.010131836,2.0578363,-0.0005248809,0.09616986,0.6838433742523193,85,696320,4521.358016072772,696320
79.75,-0.74,82.34,-1.33,157,0.0030110534,0.016764322,2.0736606,-0.0007936736,0.08679858,0.6416749060153961,86,704512,4573.252399664838,704512
71.01,-1.17,77.44,-1.3,155,0.00022030155,0.00012207031,2.132532,-0.00071825803,0.10987228,0.6157568693161011,87,712704,4626.0539755797945,712704
73.29,-0.76,79.51,-1.37,158,0.0014743201,0.0061442056,2.0976536,-0.0010513255,0.097578,0.6456007957458496,88,720896,4677.823030011728,720896
74.58,-0.66,82.81,-1.55,152,0.00029624833,0.0,1.9985133,-0.00073775905,0.0873413,0.7392463088035583,89,729088,4731.4846470537595,729088
76.03,-0.5,85.21,-1.22,151,0.0009023236,0.007405599,1.999292,-0.00083563547,0.069470584,0.6503331661224365,90,737280,4785.471528694965,737280
77.51,-0.45,83.59,-1.82,146,0.0007946622,0.004313151,2.0283515,-0.0012668559,0.057969976,0.6570363342761993,91,745472,4841.418657172937,745472
74.32,-0.46,80.5,-0.88,159,0.0021394722,0.012451172,2.0174084,-0.0015912527,0.07035298,0.5394761562347412,92,753664,4892.76950694574,753664
71.43,-0.51,78.16,-1.1,157,0.0019487242,0.011352539,2.004239,-0.00094677246,0.08122277,0.5902448892593384,93,761856,4944.676888905,761856
75.25,-0.14,75.78,-1.77,158,0.00069887895,0.00044759116,2.0041063,-0.0008698954,0.059108783,0.48878687620162964,94,770048,4996.497837600764,770048
75.22,-0.5,81.63,-1.36,154,0.0016547403,0.0057779946,2.0310748,-0.0017248885,0.07245129,0.5380650460720062,95,778240,5049.783454418648,778240
75.69,-0.41,74.78,-1.45,156,0.0014586118,0.0073649087,2.0329285,-0.0006712189,0.07371187,0.532931387424469,96,786432,5102.007133086678,786432
76.96,-0.43,82.04,-1.12,156,0.0010309516,0.008382161,1.9734749,-0.00087304524,0.06698149,0.6417028605937958,97,794624,5154.234586138744,794624
77.48,-0.32,78.91,-1.37,156,0.0044889967,0.042195637,1.8818332,-0.00135036,0.077230744,0.589506983757019,98,802816,5206.619724932592,802816
80.28,-0.21,80.2,-1.26,159,0.0024736978,0.033772785,1.9456615,-0.0010228204,0.06128444,0.6290303766727448,99,811008,5257.851697519887,811008
76.58,-0.58,80.64,-0.94,160,0.005381416,0.0431722,1.7795051,-0.00052361074,0.0732596,0.6448286175727844,100,819200,5308.884569659829,819200
72.23,-0.24,79.33,-1.59,159,0.0024369543,0.02355957,1.9121102,1.0303843e-05,0.061909188,0.6665658056735992,101,827392,5360.279287404846,827392
73.51,-0.55,80.97,-1.25,159,0.0030131128,0.014038086,1.7679898,0.00036533378,0.099911146,0.5451792776584625,102,835584,5411.697910476942,835584
75.66,-0.35,78.28,-1.16,149,0.0015893976,0.014851888,1.8670346,-0.0005583916,0.064760245,0.6351922452449799,103,843776,5466.344082264695,843776
79.96,-0.2,72.7,-0.75,159,0.0025092857,0.014404297,1.8245054,-0.0010656802,0.06491417,0.5859632790088654,104,851968,5517.790444605984,851968
76.93,0.02,82.21,-1.3,149,0.0009241313,0.0059407554,1.8465215,-0.0005826641,0.056236718,0.6760490834712982,105,860160,5572.765145240817,860160
74.51,-0.38,80.05,-1.23,155,0.0043744114,0.03072103,1.7249695,-0.00056308246,0.063898854,0.597107857465744,106,868352,5625.486212610733,868352
80.53,-0.53,79.03,-1.59,155,0.0019745575,0.017252604,1.7076279,-0.00226633,0.06762984,0.6440812349319458,107,876544,5678.317809997592,876544
79.36,0.1,83.51,-1.45,159,0.0016498222,0.016805014,1.6517854,-0.0009874859,0.054133207,0.5392562747001648,108,884736,5729.522977966815,884736
70.89,-0.14,77.45,-1.52,159,0.0008101472,0.007120768,1.5668958,-0.00085972965,0.056962967,0.7486159801483154,109,892928,5780.921818451956,892928
78.16,0.31,76.43,-0.96,155,0.0045064487,0.040608723,1.5998176,-0.0013828526,0.039797176,0.4113771915435791,110,901120,5833.59365674993,901120
77.92,-0.31,73.66,-0.98,150,0.001509936,0.013590495,1.5317167,-0.00093916844,0.059693843,0.7042438089847565,111,909312,5888.222602093592,909312
76.09,-0.43,83.21,-1.77,158,0.0011519478,0.0060221353,1.4456797,-0.00083930744,0.06778217,0.6753904819488525,112,917504,5939.858648667578,917504
82.04,-0.27,77.92,-1.24,159,0.0013427162,0.012573242,1.540886,-0.001278309,0.05617763,0.719400018453598,113,925696,5991.277606038842,925696
72.38,0.03,77.17,-0.96,151,0.004962014,0.04313151,1.3219593,-0.00034025,0.056423187,0.708869069814682,114,933888,6045.39091194002,933888
78.62,-0.37,79.89,-1.43,151,0.0034455499,0.041666668,1.4868307,-0.00012548734,0.07326701,0.6596883833408356,115,942080,6099.424356542993,942080
77.82,-0.07,81.05,-1.58,150,0.0032909773,0.028889975,1.3535833,-0.0004202931,0.0685766,0.5676553547382355,116,950272,6153.679461331572,950272
73.85,-0.16,79.12,-1.35,158,0.0017211147,0.018229166,1.5695868,-0.0009696348,0.05960247,0.6867791414260864,117,958464,6205.3667142088525,958464
77.32,-0.32,75.12,-1.33,155,0.0009005281,0.004313151,1.3450623,-0.0005545156,0.07254832,0.6466762721538544,118,966656,6258.1302105668,966656
76.24,-0.33,76.69,-1.07,155,0.0027684234,0.030761719,1.3539392,-0.0009734092,0.066516526,0.6595844924449921,119,974848,6310.805990934838,974848
75.11,-0.39,78.3,-1.63,159,0.0010607805,0.009969075,1.3883375,-0.0005793908,0.058714394,0.7899104952812195,120,983040,6362.161033555865,983040
81.68,-0.03,80.65,-1.0,152,0.0029982084,0.03397624,1.4367756,-0.00087679416,0.06612879,0.6674042642116547,121,991232,6415.731924507767,991232
80.03,-0.21,80.74,-1.36,154,0.0033532649,0.034627277,1.4379991,-0.0016437629,0.06625343,0.7213450372219086,122,999424,6468.912363321986,999424
